Instruções de Uso:,,,,TOTAL DO ESTOQUE ,,,,ESTOQUE/CATEGORIA,,%,ESTOQUE ANTERIOR,DIFERENÇA,,,
"Preencha somente a coluna destacada em amarelo, indicando a quantidade de itens.",,,,"R$ 22.480,26",,,,AVES,"R$ 714,1",3%,"R$ 836,85","R$ 122,70",,,
"Após o preenchimento completo da tabela, informe o responsável da Administração.",,,,,,,,BEBIDA,"R$ 1.807,7",8%,"R$ 2.308,05","R$ 500,35",,,
,,,,,,,,CEASA,"R$ 612,1",3%,"R$ 995,52","R$ 383,45",,,
,,,,,,,,CARNES,"R$ 1.814,9",8%,"R$ 957,60","-R$ 857,26",,,
,INGREDIENTES,CATEGORIA,UND DE MEDIDA,QUANTIDADE,VALOR UN,VALOR TOTAL,,EMBALAGEM,"R$ 6.589,8",29%,"R$ 3.721,00","-R$ 2.868,79",,,
,SALMÃO,PEIXES,KG,"68,988","R$ 56,27","R$ 3.881,95",,JAPONESES,"R$ 3.924,0",17%,"R$ 4.369,99","R$ 445,99",,,
,CAIXA FIVE,EMBALAGEM,UN,471,"R$ 4,27","R$ 2.011,17",,MERCEARIA,"R$ 603,0",3%,"R$ 639,54","R$ 36,51",,,
,CARNE DO YAKISSOBA,CARNES,KG,17,"R$ 47,24","R$ 803,08",,OLEO,"R$ 118,8",1%,"R$ 296,40","R$ 177,60",,,
,SZ 0.4,EMBALAGEM,UN,850,"R$ 0,88","R$ 748,00",,SOBREMESAS,"R$ 1.157,3",5%,"R$ 769,23","-R$ 388,09",,,
,ANCHOVA DEFUMADA,PEIXES,KG,"6,987","R$ 99,90","R$ 698,00",,PEIXES,"R$ 5.058,6",23%,"R$ 2.846,55","-R$ 2.212,07",,,
,LOMBO SUINO KG,CARNES,KG,"22,724","R$ 29,32","R$ 666,27",,FRUTO DO MAR,"R$ 79,9",0%,"R$ 391,51","R$ 311,57",,,
,EMBALAGEM OKONOMIYAKI,EMBALAGEM,UN,150,"R$ 4,00","R$ 600,00",,,,,,,,,
,ARROZ JAPONES,JAPONESES,PACOTE,11,"R$ 53,90","R$ 592,90",,,,,,,,,
,CAIXA ROSA,EMBALAGEM,UN,115,"R$ 4,29","R$ 493,35",,,,,,,,,
,CHICKEN KG,AVES,KG,"18,458","R$ 20,80","R$ 383,93",,,,,,,,,
,MARTINICA ,SOBREMESAS,UN,6,"R$ 60,00","R$ 360,00",,,,,,,,,
,MACARRÃO RAMEN ,JAPONESES,PACOTE,81,"R$ 4,33","R$ 350,73",,,,,,,,,
,GYOZA LEGUMES ,JAPONESES,PACOTE,32,"R$ 10,51","R$ 336,32",,,,,,,,,
,FRANGO DO YAKISSOBA,AVES,KG,"11,141","R$ 29,64","R$ 330,22",,,,,,,,,
,SAKE DOURADO ,BEBIDA,UND  ,8,"R$ 37,90","R$ 303,20",,,,,,,,,
,PANKO,JAPONESES,PACOTE,18,"R$ 15,25","R$ 274,50",,,,,,,,,
,SZ 0.6,EMBALAGEM,UN,300,"R$ 0,94","R$ 282,15",,,,,,,,,
